League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Passes Long balls Home ,ALL Passes Long balls Away ,ALL Passes Crosses Home ,ALL Passes Crosses Away ,ALL Duels Dribbles Home ,ALL Duels Dribbles Away ,ALL Duels Possession lost Home ,ALL Duels Possession lost Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,ALL Defending Tackles Home ,ALL Defending Tackles Away ,ALL Defending Interceptions Home ,ALL Defending Interceptions Away ,ALL Defending Clearances Home ,ALL Defending Clearances Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Passes Long balls Home ,1ST Passes Long balls Away ,1ST Passes Crosses Home ,1ST Passes Crosses Away ,1ST Duels Dribbles Home ,1ST Duels Dribbles Away ,1ST Duels Possession lost Home ,1ST Duels Possession lost Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,1ST Defending Tackles Home ,1ST Defending Tackles Away ,1ST Defending Interceptions Home ,1ST Defending Interceptions Away ,1ST Defending Clearances Home ,1ST Defending Clearances Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Passes Long balls Home ,2ND Passes Long balls Away ,2ND Passes Crosses Home ,2ND Passes Crosses Away ,2ND Duels Dribbles Home ,2ND Duels Dribbles Away ,2ND Duels Possession lost Home ,2ND Duels Possession lost Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,2ND Defending Tackles Home ,2ND Defending Tackles Away ,2ND Defending Interceptions Home ,2ND Defending Interceptions Away ,2ND Defending Clearances Home ,2ND Defending Clearances Away ,
Premier League ,19/20 ,1 ,Liverpool ,Norwich City ,4 ,1 ,57% ,43% ,15 ,12 ,7 ,5 ,5 ,5 ,3 ,2 ,11 ,2 ,0 ,5 ,9 ,9 ,0 ,2 ,null ,null ,3 ,1 ,1 ,0 ,2 ,1 ,null ,null ,11 ,8 ,4 ,4 ,4 ,4 ,477 ,363 ,387 (81%) ,278 (77%) ,27/57 (47%) ,19/52 (37%) ,5/32 (16%) ,1/2 (50%) ,11/15 (73%) ,10/16 (63%) ,145 ,130 ,56 ,38 ,15 ,7 ,21 ,12 ,14 ,11 ,5 ,35 ,56% ,44% ,6 ,7 ,4 ,2 ,1 ,4 ,1 ,1 ,5 ,1 ,0 ,1 ,0 ,0 ,null ,null ,2 ,0 ,0 ,0 ,0 ,0 ,null ,null ,6 ,5 ,0 ,2 ,2 ,1 ,256 ,208 ,209 (82%) ,162 (78%) ,12/24 (50%) ,10/32 (31%) ,4/18 (22%) ,1/1 (100%) ,5/9 (56%) ,6/9 (67%) ,null ,null ,28 ,19 ,12 ,4 ,8 ,7 ,4 ,6 ,3 ,20 ,59% ,41% ,9 ,5 ,3 ,3 ,4 ,1 ,2 ,1 ,6 ,1 ,0 ,4 ,0 ,2 ,null ,null ,1 ,1 ,1 ,0 ,2 ,1 ,null ,null ,5 ,3 ,4 ,2 ,2 ,3 ,221 ,155 ,178 (81%) ,116 (75%) ,15/33 (45%) ,9/20 (45%) ,1/14 (7%) ,0/1 (0%) ,6/6 (100%) ,4/7 (57%) ,null ,null ,28 ,19 ,3 ,3 ,13 ,5 ,10 ,5 ,2 ,15 ,
Premier League ,19/20 ,1 ,West Ham United ,Manchester City ,0 ,5 ,42% ,58% ,5 ,14 ,3 ,9 ,2 ,3 ,0 ,2 ,1 ,1 ,2 ,4 ,6 ,13 ,2 ,2 ,null ,null ,2 ,5 ,2 ,1 ,null ,null ,0 ,3 ,4 ,10 ,1 ,4 ,4 ,3 ,403 ,547 ,325 (81%) ,473 (86%) ,25/47 (53%) ,28/44 (64%) ,1/12 (8%) ,2/6 (33%) ,8/12 (67%) ,13/18 (72%) ,129 ,114 ,57 ,54 ,18 ,17 ,18 ,18 ,9 ,13 ,9 ,13 ,44% ,56% ,1 ,8 ,1 ,4 ,0 ,2 ,0 ,2 ,0 ,1 ,1 ,2 ,0 ,0 ,null ,null ,0 ,1 ,0 ,1 ,null ,null ,0 ,0 ,1 ,5 ,0 ,3 ,3 ,1 ,231 ,290 ,190 (82%) ,249 (86%) ,20/32 (63%) ,14/24 (58%) ,0/5 (0%) ,1/2 (50%) ,6/10 (60%) ,8/11 (73%) ,null ,null ,34 ,29 ,12 ,8 ,8 ,12 ,5 ,6 ,7 ,9 ,40% ,60% ,4 ,6 ,2 ,5 ,2 ,1 ,0 ,0 ,1 ,0 ,1 ,2 ,2 ,2 ,null ,null ,2 ,4 ,2 ,0 ,null ,null ,0 ,3 ,3 ,5 ,1 ,1 ,1 ,2 ,172 ,257 ,135 (78%) ,224 (87%) ,5/15 (33%) ,14/20 (70%) ,1/7 (14%) ,1/4 (25%) ,2/2 (100%) ,5/7 (71%) ,null ,null ,23 ,25 ,6 ,9 ,10 ,6 ,4 ,7 ,2 ,4 ,
Premier League ,19/20 ,1 ,Bournemouth ,Sheffield United ,1 ,1 ,52% ,48% ,13 ,8 ,3 ,3 ,7 ,4 ,3 ,1 ,3 ,4 ,1 ,1 ,10 ,19 ,2 ,1 ,null ,null ,2 ,4 ,1 ,3 ,null ,null ,null ,null ,7 ,3 ,6 ,5 ,2 ,2 ,485 ,428 ,384 (79%) ,332 (78%) ,20/58 (34%) ,27/79 (34%) ,2/14 (14%) ,4/18 (22%) ,8/17 (47%) ,6/15 (40%) ,151 ,145 ,56 ,49 ,14 ,21 ,18 ,14 ,13 ,14 ,13 ,16 ,60% ,40% ,3 ,4 ,0 ,2 ,3 ,1 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,null ,null ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,1 ,1 ,2 ,3 ,2 ,0 ,299 ,192 ,243 (81%) ,133 (69%) ,10/27 (37%) ,12/46 (26%) ,0/5 (0%) ,2/6 (33%) ,4/6 (67%) ,2/5 (40%) ,null ,null ,28 ,22 ,10 ,12 ,6 ,4 ,7 ,10 ,6 ,7 ,44% ,56% ,10 ,4 ,3 ,1 ,4 ,3 ,3 ,0 ,2 ,3 ,0 ,0 ,1 ,1 ,null ,null ,2 ,3 ,1 ,2 ,null ,null ,null ,null ,6 ,2 ,4 ,2 ,0 ,2 ,186 ,236 ,141 (76%) ,199 (84%) ,10/31 (32%) ,15/33 (45%) ,2/9 (22%) ,2/12 (17%) ,4/11 (36%) ,4/10 (40%) ,null ,null ,28 ,27 ,4 ,9 ,12 ,10 ,6 ,4 ,7 ,9 ,
Premier League ,19/20 ,1 ,Burnley ,Southampton ,3 ,0 ,46% ,54% ,10 ,11 ,4 ,3 ,4 ,5 ,2 ,3 ,2 ,7 ,5 ,1 ,6 ,12 ,null ,null ,null ,null ,1 ,1 ,0 ,1 ,null ,null ,null ,null ,8 ,5 ,2 ,6 ,3 ,1 ,332 ,393 ,183 (55%) ,249 (63%) ,22/83 (27%) ,32/98 (33%) ,6/14 (43%) ,5/10 (50%) ,14/15 (93%) ,6/11 (55%) ,201 ,205 ,68 ,41 ,23 ,22 ,21 ,7 ,14 ,10 ,13 ,18 ,47% ,53% ,2 ,6 ,0 ,2 ,2 ,2 ,0 ,2 ,0 ,2 ,2 ,1 ,null ,null ,null ,null ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,1 ,2 ,1 ,4 ,2 ,0 ,183 ,212 ,95 (52%) ,138 (65%) ,11/42 (26%) ,16/51 (31%) ,1/4 (25%) ,2/4 (50%) ,4/4 (100%) ,1/2 (50%) ,null ,null ,31 ,18 ,11 ,11 ,10 ,4 ,9 ,8 ,3 ,8 ,45% ,55% ,8 ,5 ,4 ,1 ,2 ,3 ,2 ,1 ,2 ,5 ,3 ,0 ,null ,null ,null ,null ,1 ,0 ,0 ,0 ,null ,null ,null ,null ,7 ,3 ,1 ,2 ,1 ,1 ,149 ,181 ,88 (59%) ,111 (61%) ,11/41 (27%) ,16/47 (34%) ,5/10 (50%) ,3/6 (50%) ,10/11 (91%) ,5/9 (56%) ,null ,null ,37 ,23 ,12 ,11 ,11 ,3 ,5 ,2 ,10 ,10 ,
Premier League ,19/20 ,1 ,Crystal Palace ,Everton ,0 ,0 ,35% ,65% ,6 ,10 ,2 ,3 ,0 ,3 ,4 ,4 ,6 ,2 ,4 ,0 ,16 ,14 ,2 ,3 ,0 ,1 ,1 ,2 ,1 ,2 ,null ,null ,1 ,0 ,6 ,7 ,0 ,3 ,2 ,2 ,268 ,500 ,161 (60%) ,401 (80%) ,12/48 (25%) ,33/64 (52%) ,1/14 (7%) ,3/17 (18%) ,8/12 (67%) ,5/14 (36%) ,166 ,169 ,71 ,53 ,30 ,18 ,21 ,14 ,10 ,14 ,21 ,18 ,31% ,69% ,3 ,6 ,0 ,1 ,0 ,2 ,3 ,3 ,3 ,2 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,null ,null ,0 ,0 ,3 ,5 ,0 ,1 ,1 ,0 ,129 ,279 ,76 (59%) ,223 (80%) ,4/27 (15%) ,15/32 (47%) ,1/7 (14%) ,3/13 (23%) ,4/5 (80%) ,3/9 (33%) ,null ,null ,34 ,23 ,14 ,9 ,11 ,6 ,5 ,6 ,15 ,8 ,39% ,61% ,3 ,4 ,2 ,2 ,0 ,1 ,1 ,1 ,3 ,0 ,3 ,0 ,1 ,3 ,0 ,1 ,1 ,0 ,1 ,0 ,null ,null ,1 ,0 ,3 ,2 ,0 ,2 ,1 ,2 ,139 ,221 ,85 (61%) ,178 (81%) ,8/21 (38%) ,18/32 (56%) ,0/7 (0%) ,0/4 (0%) ,4/7 (57%) ,2/5 (40%) ,null ,null ,37 ,30 ,16 ,9 ,10 ,8 ,5 ,8 ,6 ,10 ,
Premier League ,19/20 ,1 ,Watford ,Brighton & Hove Albion ,0 ,3 ,48% ,52% ,11 ,5 ,3 ,3 ,4 ,2 ,4 ,0 ,5 ,2 ,0 ,3 ,15 ,11 ,0 ,1 ,null ,null ,0 ,2 ,null ,null ,null ,null ,null ,null ,4 ,3 ,7 ,2 ,1 ,3 ,414 ,442 ,325 (79%) ,347 (79%) ,24/44 (55%) ,42/77 (55%) ,4/14 (29%) ,2/12 (17%) ,9/15 (60%) ,6/12 (50%) ,145 ,146 ,46 ,62 ,14 ,19 ,12 ,24 ,12 ,11 ,10 ,24 ,43% ,57% ,5 ,3 ,1 ,1 ,4 ,2 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,null ,null ,0 ,0 ,null ,null ,null ,null ,null ,null ,1 ,1 ,4 ,2 ,1 ,1 ,172 ,225 ,130 (76%) ,172 (76%) ,17/30 (57%) ,21/38 (55%) ,1/8 (13%) ,0/5 (0%) ,5/8 (63%) ,2/3 (67%) ,71 ,72 ,23 ,29 ,10 ,11 ,1 ,11 ,4 ,5 ,7 ,14 ,52% ,48% ,6 ,2 ,2 ,2 ,0 ,0 ,4 ,0 ,2 ,2 ,0 ,1 ,0 ,1 ,null ,null ,0 ,2 ,null ,null ,null ,null ,null ,null ,3 ,2 ,3 ,0 ,0 ,2 ,242 ,217 ,195 (81%) ,175 (81%) ,7/14 (50%) ,21/39 (54%) ,3/6 (50%) ,2/7 (29%) ,4/7 (57%) ,4/9 (44%) ,74 ,74 ,23 ,33 ,4 ,8 ,11 ,13 ,8 ,6 ,3 ,10 ,
Premier League ,19/20 ,1 ,Tottenham ,Aston Villa ,3 ,1 ,70% ,30% ,31 ,7 ,7 ,4 ,14 ,2 ,10 ,1 ,14 ,0 ,1 ,0 ,13 ,9 ,1 ,0 ,null ,null ,4 ,1 ,3 ,0 ,null ,null ,0 ,1 ,17 ,4 ,14 ,3 ,3 ,3 ,587 ,256 ,526 (90%) ,200 (78%) ,30/44 (68%) ,21/49 (43%) ,6/38 (16%) ,2/8 (25%) ,11/25 (44%) ,4/8 (50%) ,131 ,95 ,47 ,58 ,10 ,12 ,17 ,29 ,5 ,9 ,6 ,39 ,71% ,29% ,7 ,5 ,1 ,4 ,6 ,0 ,0 ,1 ,4 ,0 ,1 ,0 ,0 ,0 ,null ,null ,1 ,1 ,1 ,0 ,null ,null ,0 ,1 ,3 ,4 ,4 ,1 ,3 ,1 ,323 ,129 ,289 (89%) ,104 (81%) ,18/25 (72%) ,14/24 (58%) ,2/14 (14%) ,1/6 (17%) ,5/14 (36%) ,2/3 (67%) ,null ,null ,17 ,32 ,2 ,7 ,6 ,16 ,2 ,6 ,3 ,15 ,68% ,32% ,24 ,2 ,6 ,0 ,8 ,2 ,10 ,0 ,10 ,0 ,0 ,0 ,1 ,0 ,null ,null ,3 ,0 ,2 ,0 ,null ,null ,0 ,0 ,14 ,0 ,10 ,2 ,0 ,2 ,264 ,127 ,237 (90%) ,96 (76%) ,12/19 (63%) ,7/25 (28%) ,4/24 (17%) ,1/2 (50%) ,6/11 (55%) ,2/5 (40%) ,null ,null ,30 ,26 ,8 ,5 ,11 ,13 ,3 ,3 ,3 ,24 ,
Premier League ,19/20 ,1 ,Leicester City ,Wolverhampton ,0 ,0 ,70% ,30% ,16 ,8 ,1 ,2 ,10 ,4 ,5 ,2 ,12 ,3 ,0 ,1 ,3 ,13 ,0 ,2 ,null ,null ,1 ,1 ,1 ,1 ,null ,null ,0 ,1 ,3 ,5 ,13 ,3 ,2 ,1 ,665 ,291 ,564 (85%) ,202 (69%) ,18/39 (46%) ,27/62 (44%) ,7/29 (24%) ,2/6 (33%) ,16/28 (57%) ,12/20 (60%) ,164 ,146 ,71 ,55 ,24 ,22 ,20 ,19 ,7 ,9 ,12 ,33 ,69% ,31% ,7 ,2 ,0 ,0 ,5 ,2 ,2 ,0 ,3 ,1 ,0 ,0 ,0 ,1 ,null ,null ,1 ,0 ,1 ,0 ,null ,null ,0 ,0 ,1 ,0 ,6 ,2 ,0 ,0 ,354 ,161 ,306 (86%) ,117 (73%) ,8/21 (38%) ,15/26 (58%) ,3/11 (27%) ,0/2 (0%) ,4/8 (50%) ,6/11 (55%) ,null ,null ,29 ,25 ,8 ,10 ,9 ,7 ,2 ,6 ,7 ,10 ,71% ,29% ,9 ,6 ,1 ,2 ,5 ,2 ,3 ,2 ,9 ,2 ,0 ,1 ,0 ,1 ,null ,null ,0 ,1 ,0 ,1 ,null ,null ,0 ,1 ,2 ,5 ,7 ,1 ,2 ,1 ,311 ,130 ,258 (83%) ,85 (65%) ,10/18 (56%) ,12/36 (33%) ,4/18 (22%) ,2/4 (50%) ,12/20 (60%) ,6/9 (67%) ,null ,null ,42 ,30 ,16 ,12 ,11 ,12 ,5 ,3 ,5 ,23 ,
Premier League ,19/20 ,1 ,Newcastle United ,Arsenal ,0 ,1 ,38% ,62% ,9 ,8 ,2 ,2 ,4 ,4 ,3 ,2 ,5 ,3 ,1 ,3 ,12 ,7 ,1 ,3 ,null ,null ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,3 ,4 ,7 ,5 ,1 ,1 ,2 ,378 ,616 ,287 (76%) ,523 (85%) ,27/61 (44%) ,25/51 (49%) ,1/15 (7%) ,1/10 (10%) ,11/18 (61%) ,12/25 (48%) ,143 ,149 ,65 ,48 ,21 ,14 ,26 ,11 ,20 ,6 ,17 ,22 ,30% ,70% ,5 ,3 ,1 ,1 ,2 ,2 ,2 ,0 ,2 ,2 ,0 ,2 ,1 ,2 ,null ,null ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,1 ,3 ,2 ,2 ,1 ,1 ,1 ,157 ,364 ,111 (71%) ,323 (89%) ,8/29 (28%) ,15/23 (65%) ,1/5 (20%) ,0/5 (0%) ,6/10 (60%) ,6/16 (38%) ,65 ,73 ,31 ,22 ,4 ,7 ,17 ,5 ,11 ,4 ,9 ,8 ,46% ,54% ,4 ,5 ,1 ,1 ,2 ,2 ,1 ,2 ,3 ,1 ,1 ,1 ,0 ,1 ,null ,null ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,5 ,3 ,0 ,0 ,1 ,221 ,252 ,176 (80%) ,200 (79%) ,19/32 (59%) ,10/28 (36%) ,0/10 (0%) ,1/5 (20%) ,5/8 (63%) ,6/9 (67%) ,78 ,76 ,34 ,26 ,17 ,7 ,9 ,6 ,9 ,2 ,8 ,14 ,
Premier League ,19/20 ,1 ,Manchester United ,Chelsea ,4 ,0 ,46% ,54% ,11 ,18 ,5 ,7 ,2 ,7 ,4 ,4 ,3 ,5 ,2 ,0 ,15 ,13 ,3 ,4 ,null ,null ,3 ,1 ,0 ,1 ,0 ,2 ,3 ,0 ,7 ,9 ,4 ,9 ,7 ,1 ,449 ,523 ,363 (81%) ,442 (85%) ,28/53 (53%) ,15/38 (39%) ,4/14 (29%) ,4/19 (21%) ,14/20 (70%) ,13/24 (54%) ,140 ,133 ,55 ,58 ,13 ,9 ,16 ,21 ,12 ,15 ,19 ,11 ,44% ,56% ,5 ,8 ,2 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,1 ,null ,null ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,3 ,3 ,2 ,5 ,3 ,1 ,222 ,277 ,181 (82%) ,231 (83%) ,15/28 (54%) ,9/20 (45%) ,1/7 (14%) ,1/8 (13%) ,11/14 (79%) ,5/11 (45%) ,68 ,71 ,29 ,25 ,5 ,3 ,7 ,11 ,8 ,7 ,10 ,6 ,47% ,53% ,6 ,10 ,3 ,4 ,0 ,3 ,3 ,3 ,2 ,4 ,1 ,0 ,3 ,3 ,null ,null ,2 ,1 ,0 ,1 ,0 ,0 ,3 ,0 ,4 ,6 ,2 ,4 ,4 ,0 ,227 ,246 ,182 (80%) ,211 (86%) ,13/25 (52%) ,6/18 (33%) ,3/7 (43%) ,3/11 (27%) ,3/6 (50%) ,8/13 (62%) ,72 ,62 ,26 ,33 ,8 ,6 ,9 ,10 ,4 ,8 ,9 ,5 ,
